1764,Brentwood Fountain,Fountains,"72""","34""",,,,"72""H x 34""W x 25""D",1764.png,1288.jpg,Giannini,
1765,Brentwood Fountain Short with Base,Fountains,"60""","34""",,,,"60""H x 34""W x 25""D",1765.png,1289.jpg,Giannini,
1595b,Grand Avignon Courtyard Foutain for Bronze Spouts.,Fountains,"67""","46""","22"" Sq",,,"67""Hx46""Wx22""Sq Base",1595b.png,472.jpg,Giannini,
1595c,Grand Avignon Courtyard Foutain with Concrete Spouts,Fountains,"67""","46""","22"" Sq",,,"67""Hx46""Wx22""Sq Base",1595c.png,472.jpg,Giannini,
1595,Grand Avignon Courtyard Foutain for Rustic Iron Spouts.,Fountains,"67""","46""","22"" Sq",,,"67""Hx46""Wx22""Sq Base",1595.png,472.jpg,Giannini,
4135,"Lotus Two Tier Fountain in 48"" Basin",Home_Installations,"54""","48""",,,,"48""W x 54""H",4135.png,1207.jpg,Giannini,
2017,Giannini Garden,Home_Installations,,,,,,None,2017.png,1210.jpg,Giannini,
4722,Elegance Statue,Home_Installations,"48""","20""W  B: 12.5""",,,,"48""H x 20""W  B: 12.5""",4722.png,1212.jpg,Giannini,
468,Primavera Statue,Home_Installations,"44""","18""","12""sq.",,,"44""H x 18""W 12""sq. base",468.png,1213.jpg,Giannini,
na,Fountain Rocks,Home_Installations,n/a,n/a,,,,n/a,na.png,1214.jpg,Giannini,
null,FOUNTAIN,Home_Installations,,,,,,null,null.png,1217.jpg,Giannini,
4722,Barocco Fountain,Home_Installations,"72""","48""",,,,"H 72"" | W 48"" | B 22""",4722.png,1267.jpg,Giannini,
4736,Custom Fountain,Home_Installations,,"48""w x 69""h",,,,"48""w x 69""h",4736.png,1344.jpg,Giannini,
4105,Octagonal Provence Fountain,Home_Installations,"82""","68""",,,,"82""h x 68""w",4105.png,1463.jpg,Giannini,
CR,PIATTO,Italian_Ceramics,,,,,,0,CR.png,782.jpg,Giannini,
4504,ORCIOLO BLU ANTICO - LIONS,Italian_Ceramics,30,24,,,,H30 W24,4504.png,784.jpg,Giannini,
416,Wall Plaque,Italian_Ceramics,,,,"15""",,"15""d",416.png,801.jpg,Giannini,
45041,Square Platter,Italian_Ceramics,,"15""",,,,"15""Sq.",45041.png,803.jpg,Giannini,
4069,Square Serving Dish,Italian_Ceramics,,15.5”,,,,15.5” L X 15.5” W,4069.png,814.jpg,Giannini,
4508,Square Serving Plate,Italian_Ceramics,,15x15,,,,15x15,4508.png,815.jpg,Giannini,
4507001,Round plate,Italian_Ceramics,,,,36,,ø 36,4507001.png,820.jpg,Giannini,
450A,Sedie Margherita,Italian_Furniture,105,41,,,,H 105 - L 41 - P 41,450A.png,779.jpg,Giannini,
107,Tavolo F.14,Italian_Furniture,78,150,,,,Ø 150 - H 78,107.png,779.jpg,Giannini,
450B,Sedie Margherita C/B,Italian_Furniture,105,41,,,,H 105 - L 41 - P 41,450B.png,779.jpg,Giannini,
4121,ROSA DEI VENTI,Italian_Furniture,75,,,120,,d. 120 h. 75,4121.png,780.jpg,Giannini,
416,BASE,Italian_Furniture,75,,,120,,d. 120 h. 75,416.png,780.jpg,Giannini,
410,Barolo Dining Table with micro mesh top,Italian_Furniture,"28.5""","42""w x 84""d x",,,,"42""w x 84""d x 28.5""h",410.png,786.jpg,Giannini,
4507001A,Armchair,Italian_Furniture,,"21.5""W x 24""D x 37""H",,,,"21.5""W x 24""D x 37""H",4507001A.png,787.jpg,Giannini,
46914,"Banc ""Coeur""/2 Places",Italian_Furniture,88 cm,112 cm,,56 cm,,W 112 x D 56 x H 88 cm,46914.png,789.jpg,Giannini,
null,table,Italian_Furniture,,,,,,null,null.png,790.jpg,Giannini,
4810200,Tavolo rotondo,Italian_Furniture,75 cm,,,120 cm,,Ø120 h 75 cm,4810200.png,947.jpg,Giannini,
5600100,Poltroncina impilabile,Italian_Furniture,,45 cm,,,,45x54x100 cm,5600100.png,947.jpg,Giannini,
5600100,Poltroncina impilabile,Italian_Furniture,,45 cm,,,,45x54x100 cm,5600100.png,947.jpg,Giannini,
5600100,Poltroncina impilabile,Italian_Furniture,,45 cm,,,,45x54x100 cm,5600100.png,947.jpg,Giannini,
5600100,Poltroncina impilabile,Italian_Furniture,,45 cm,,,,45x54x100 cm,5600100.png,947.jpg,Giannini,
null,table,Italian_Furniture,,,,,,null,null.png,948.jpg,Giannini,
null,chair,Italian_Furniture,,,,,,null,null.png,948.jpg,Giannini,
null,chair,Italian_Furniture,,,,,,null,null.png,948.jpg,Giannini,
null,pot,Italian_Furniture,,,,,,null,null.png,948.jpg,Giannini,
null,pot,Italian_Furniture,,,,,,null,null.png,948.jpg,Giannini,
1843,Verona Three Tier Fountain,NEW_for_2025,"63""","42""",,,,"63""H x 42""W x 20"" Round Base",1843.png,1480.jpg,Giannini,
1832,Eden Fountain,NEW_for_2025,"32""","31""W x 18""Sq base",,,,"32""H x 31""W x 18""Sq base",1832.png,1481.jpg,Giannini,
1833,Genesis Fountain,NEW_for_2025,"35""H","30""W","18""Sq base",,,"35""H x 30""W x 18""Sq base",1833.png,1482.jpg,Giannini,
1834,Trinity Falls Fountain,NEW_for_2025,"41""","30""",,"30""",,"41""H x 30""W x 30""D",1834.png,1483.jpg,Giannini,
1847,San Pietro Courtyard Fountain,NEW_for_2025,"62""","39""","20""Sq",,,"62""H x 39""W x 20""Sq Base",1847.png,1484.jpg,Giannini,
1837,Riviera Wall Fountain,NEW_for_2025,"58""","40""W x 24""D",,,,"58""H x 40""W x 24""D",1837.png,1485.jpg,Giannini,
1838,Vineyard Wall Fountain,NEW_for_2025,"54""","40""",,"24""",,"54""H x 40""W x 24""D",1838.png,1486.jpg,Giannini,
1851,Amalficello Courtyard Fountain,NEW_for_2025,"62""","40""","19""","40""",,"62""H x 40""W x 19"" Dia Base",1851.png,1487.jpg,Giannini,
1853,Monterosso Pond Fountain,NEW_for_2025,"48""","39""",,,,"48""H x 39""W",1853.png,1488.jpg,Giannini,
1844,Rialto Courtyard Fountain,NEW_for_2025,72‐H,47‐W,23‐Sq Base,,,72‐H x 47‐W x 23‐Sq Base,1844.png,1493.jpg,Giannini,
1845,Navona Courtyard Fountain,NEW_for_2025,"67""","47""","23""Sq",None,,"67""H x 47""W x 23""Sq Base",1845.png,1494.jpg,Giannini,
1846,Monterosso Courtyard Fountain,NEW_for_2025,66'',39'',,,,66’’H x 39’’W x 20’’ Sq. Base,1846.png,1495.jpg,Giannini,
1856,San Pietro Monaco Pond Fountain,NEW_for_2025,"44""","59""",,,,"44""H x 59""W",1856.png,1496.jpg,Giannini,
1848,Ravello Courtyard Fountain,NEW_for_2025,"64""","39""",,,,"64""H x 39""W x 19"" Dia Base",1848.png,1497.jpg,Giannini,
1849,Amalfi Courtyard Fountain,NEW_for_2025,"62""","39""",,,,"62""H x 39""W x 19"" Dia. Base",1849.png,1498.jpg,Giannini,
1850,Ponticello Courtyard Fountain,NEW_for_2025,"64""","40""",,,,"64""H x 40""W x 19"" Dia Base",1850.png,1499.jpg,Giannini,
1852,Ravello Pond Fountain,NEW_for_2025,"48""","39""",,,,"48""H x 39""W",1852.png,1500.jpg,Giannini,
1857,Rialto Monaco Pond Fountain,NEW_for_2025,"48""","59""",,,,"48""H x 59""W",1857.png,1501.jpg,Giannini,
1855,San Pietro Pond Fountain,NEW_for_2025,"44""","39""",,,,"44""H x 39""W",1855.png,1502.jpg,Giannini,
